*******************************************************************************
 Revised: Dec 02, 2013              Jupiter                                 599
 
 PHYSICAL DATA (updated 2009-Jan-28):
  Mass (10^24 kg)       =  1898.13+-.19   Density (g/cm^3)       =  1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      = 66854+-10
  Volumetric mean radius= 69911+-6 km     Flattening             =  0.06487

  Rotation period       = 9h 55m 29.685s  Rot. rate(10^-4 rad/s) =  1.75865
  m = w^2a^3/GM         =  0.089195       Hydrostatic flat., fh  =  0.06509
  Inferred rot. period  =  9.894+-0.02 hr ks = 3*J2/m            =  0.494
  Mom. of inert. I/MRo^2=  0.254          I/MRo^2 (upper bound)  =  0.267 
  Rocky core mass (Mc/M)=  0.0261         Y factor (He/H ratio)  =  0.18+-0.04

  GM (km^3/s^2)         = 126,686,511     GM 1-sigma (km^3/s^2)  = +-100
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  = 28.34

  Geometric albedo      =  0.52           Visual magnitude V(1,0)= -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.12 deg
  Sidereal orbit period = 11.862615 yr    Sidereal orbit period  = 4332.820 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit velocity    = 13.0697 km/s

  Atmos. temp. (1 bar)  = 165+-5 K        Heat flow/mass (x10^7) = 15 erg/gm*s
  Planetary Solar Const =  50.5 W/m^2     Dipole tilt/offset     = 9.6deg/0.1Rp 
  Escape velocity (km/s)=  59.5           Mag.dip.mom(gauss-Rp^3)= 4.2 
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Tue Mar 15 19:58:19 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup310}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2012-Nov-10 00:00:00.0000 UT      
Stop  time      : A.D. 2013-Mar-23 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {East-longitude -}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 21.4283333,-30.721389,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 21.4283333,5487.83563,-3239.378 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.160315.p160606                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-MAR-15. PREDICTS-> 2016-JUN-05
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
***********************************************************************************************************************
Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), Azi_(a-app), Elev_(a-app), L_Ap_Sid_Time, L_Ap_Hour_Ang,
***********************************************************************************************************************
$$SOE
2456241.500000000, , , 72.80843, 21.66436,   2.3721, 37.5575,  4.7324296188,  -0.134902985,
2456241.541666667, ,m, 72.80337, 21.66385, 344.9761, 36.1228,  5.7351674402,   0.868172321,
2456241.583333333, ,m, 72.79831, 21.66332, 329.3044, 31.0720,  6.7379052615,   1.871247704,
2456241.625000000,N,m, 72.79327, 21.66278, 316.2814, 23.2273,  7.7406430829,   2.874322516,
2456241.666666667,*,m, 72.78824, 21.66223, 305.7379, 13.4539,  8.7433809042,   3.877396170,
2456241.708333333,*,m, 72.78325, 21.66167, 297.0758,  2.4100,  9.7461187257,   4.880468172,
2456241.750000000,*,m, 72.77829, 21.66111, 289.6733, -9.4617, 10.7488565473,   5.883538163,
2456241.791666667,*,m, 72.77336, 21.66055, 282.9768,-21.8697, 11.7515943690,   6.886605940,
2456241.833333333,*,m, 72.76846, 21.65999, 276.4321,-34.6114, 12.7543321908,   7.889671470,
2456241.875000000,*,m, 72.76359, 21.65944, 269.2753,-47.5202, 13.7570700129,   8.892734892,
2456241.916666667,*,m, 72.75875, 21.65889, 259.8679,-60.3885, 14.7598078352,   9.895796508,
2456241.958333333,*,m, 72.75392, 21.65836, 242.4928,-72.6706, 15.7625456578,  10.898856759,
2456242.000000000,*,m, 72.74910, 21.65783, 188.6404,-80.8618, 16.7652834807,  11.901916240,
2456242.041666667,*,m, 72.74427, 21.65732, 123.4183,-74.8520, 17.7680213039, -11.095024428,
2456242.083333333,*, , 72.73943, 21.65682, 102.5611,-62.8678, 18.7707591275, -10.091964663,
2456242.125000000,*, , 72.73457, 21.65634,  92.3090,-50.0476, 19.7734969514,  -9.088903760,
2456242.166666667,*, , 72.72968, 21.65586,  84.8921,-37.1265, 20.7762347758,  -8.085841133,
2456242.208333333,*, , 72.72476, 21.65539,  78.3012,-24.3386, 21.7789726007,  -7.082776299,
2456242.250000000,N, , 72.71979, 21.65492,  71.6807,-11.8505, 22.7817104260,  -6.079708904,
2456242.291666667, , , 72.71478, 21.65445,  64.4587,  0.1464, 23.7844482520,  -5.076638752,
2456242.333333333, , , 72.70974, 21.65397,  56.0901, 11.3826,  0.7871860784,  -4.073565818,
2456242.375000000, , , 72.70465, 21.65349,  45.9657, 21.4505,  1.7899239055,  -3.070490250,
2456242.416666667, , , 72.69954, 21.65300,  33.4627, 29.7373,  2.7926617332,  -2.067412358,
2456242.458333333, , , 72.69440, 21.65250,  18.2769, 35.4086,  3.7953995616,  -1.064332593,
2456242.500000000, , , 72.68924, 21.65199,   1.0777, 37.5983,  4.7981373906,  -0.061251517,
2456242.541666667, , , 72.68409, 21.65146, 343.7433, 35.8785,  5.8008752204,   0.941830235,
2456242.583333333, ,m, 72.67893, 21.65092, 328.2482, 30.5903,  6.8036130510,   1.944912002,
2456242.625000000,N,m, 72.67380, 21.65036, 315.4203, 22.5750,  7.8063508825,   2.947993136,
2456242.666666667,*,m, 72.66868, 21.64980, 305.0361, 12.6874,  8.8090887147,   3.951073053,
2456242.708333333,*,m, 72.66359, 21.64923, 296.4861,  1.5687,  9.8118265479,   4.954151270,
2456242.750000000,*,m, 72.65854, 21.64866, 289.1529,-10.3519, 10.8145643819,   5.957227435,
2456242.791666667,*,m, 72.65352, 21.64809, 282.4860,-22.7913, 11.8173022170,   6.960301358,
2456242.833333333,*,m, 72.64853, 21.64752, 275.9253,-35.5514, 12.8200400530,   7.963373018,
2456242.875000000,*,m, 72.64357, 21.64695, 268.6745,-48.4658, 13.8227778901,   8.966442567,
