#Fluxes given in Jy, freq in GHz, date in MJD
#Freq 34.688000 34.688000 34.188000 34.188000 33.688000 33.688000 33.188000 33.188000 32.688000 32.688000 32.188000 32.188000 31.688000 31.688000 31.188000 31.188000 30.688000 30.688000 30.188000 30.188000 29.688000 29.688000 29.188000 29.188000 28.688000 28.688000 28.188000 28.188000 27.688000 27.688000 27.188000 27.188000
#Date Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err Meas Err 
57018.414462 173.772939 0.009193 167.883895 0.007836 162.099851 0.007733 156.460408 0.007793 150.927026 0.007761 145.522658 0.010687 140.241996 0.008119 135.011754 0.007340 129.983363 0.008170 124.972373 0.007244 120.123187 0.007132 115.377263 0.007265 110.746701 0.007695 106.208508 0.007787 101.789049 0.008138 NaN Inf
57019.387552 172.673615 0.009463 166.998058 0.008082 161.419355 0.007766 155.955621 0.008051 150.608498 0.007676 145.331485 0.009007 140.258762 0.008305 135.174354 0.007593 130.291491 0.008409 125.416137 0.007499 120.691457 0.007396 116.063483 0.007533 111.540999 0.007938 107.105894 0.008075 102.780478 0.008441 NaN Inf
57024.539983 173.519174 0.010272 167.590305 0.008086 161.841086 0.009257 156.138325 0.008730 150.599197 0.008434 145.161175 0.010002 139.842694 0.007608 134.640738 0.007465 129.552871 0.008265 124.581342 0.007366 119.716274 0.007235 114.968638 0.007342 110.327523 0.007710 105.788030 0.008279 101.381010 0.009865 NaN Inf
57035.368073 193.142259 0.009981 186.046189 0.008504 179.083904 0.008389 172.313432 0.008465 165.700205 0.008089 159.207038 0.009447 152.937386 0.008049 146.789249 0.007912 140.835672 0.008721 134.958154 0.007773 129.267296 0.007662 123.717992 0.007794 118.328499 0.008170 113.070337 0.008377 107.967180 0.008761 NaN Inf
57039.375214 196.905339 0.010777 190.742405 0.009238 184.593880 0.011061 178.714453 0.009259 172.877226 0.008830 167.103557 0.010757 161.482526 0.009057 155.962919 0.008781 150.524613 0.010307 145.207153 0.008709 139.986777 0.008612 134.866953 0.008796 129.853618 0.009259 124.936832 0.009619 120.121469 0.010355 NaN Inf
57056.254936 191.551041 0.009838 185.210992 0.008632 178.999965 0.008297 172.916715 0.008360 166.946306 0.007992 161.069526 0.008243 155.341492 0.008188 149.735806 0.007871 144.225046 0.008712 138.842812 0.007792 133.568892 0.008043 128.417407 0.007828 123.376532 0.008297 118.456046 0.008448 113.635522 0.008806 NaN Inf
57061.190353 190.970777 0.014461 185.024736 0.012276 179.165365 0.011882 173.414964 0.012644 167.747160 0.011662 162.193405 0.011467 156.734433 0.011722 151.392656 0.011641 146.102865 0.013019 140.966269 0.011579 135.913717 0.011410 130.956898 0.011707 126.099605 0.012316 121.357230 0.012913 116.647083 0.014765 NaN Inf
57066.202216 198.207961 0.010523 191.992722 0.009353 186.883769 0.009356 179.783643 0.008903 174.239133 0.008476 168.626920 0.009366 160.637867 0.008532 156.167971 0.008491 148.795392 0.009362 145.786030 0.008684 138.675059 0.008349 134.150858 0.008958 129.657641 0.009186 124.679032 0.009478 119.422660 0.009602 NaN Inf
57068.283478 194.051075 0.008824 187.824177 0.007476 181.425784 0.007561 NaN Inf 170.085987 0.007028 164.336654 0.007065 158.836434 0.007053 153.381198 0.006963 147.803976 0.007461 142.781398 0.006879 137.809564 0.007014 132.595052 0.006913 127.633087 0.007225 122.696572 0.007341 NaN Inf NaN Inf
57071.129126 185.499765 0.017348 180.094737 0.014671 174.750433 0.014005 NaN Inf 164.307736 0.013771 159.206818 0.013547 154.180617 0.013681 149.258255 0.013656 144.351272 0.014479 139.602504 0.013222 134.918268 0.013437 130.299087 0.013691 125.766101 0.014291 121.340951 0.014829 116.940729 0.015299 NaN Inf
57079.397575 185.211280 0.009015 179.005019 0.007775 171.889105 0.007274 NaN Inf 161.339595 0.007182 155.258294 0.007042 151.388816 0.007193 144.811731 0.007067 141.508827 0.007753 136.085277 0.007001 130.239786 0.007037 125.791762 0.007030 120.011503 0.007342 115.229406 0.007368 110.693540 0.007920 NaN Inf
57086.269022 177.927161 0.008210 171.970365 0.006887 165.828131 0.006971 NaN Inf 155.153895 0.006497 149.819760 0.006348 144.507478 0.006630 139.934586 0.006619 134.099855 0.006985 129.483348 0.006329 124.893595 0.006356 119.928806 0.006312 115.259598 0.006672 110.657784 0.006623 106.119847 0.007605 NaN Inf
57087.295723 176.959302 0.008274 171.276193 0.007225 165.117339 0.006779 NaN Inf 154.333611 0.006546 149.051237 0.006430 143.848944 0.006532 138.680297 0.006562 133.404593 0.007024 128.863863 0.006927 124.368262 0.006396 119.238874 0.006634 114.974565 0.006862 110.186138 0.006679 105.693069 0.007525 NaN Inf
57088.311892 177.925327 0.008369 171.964117 0.007061 165.731674 0.007154 NaN Inf 155.015959 0.006901 149.834451 0.006629 144.393337 0.007017 139.619315 0.006551 134.229650 0.007080 129.668880 0.006486 125.123947 0.006593 120.095557 0.006603 115.549756 0.006836 110.923286 0.006781 106.403611 0.007658 NaN Inf
57092.079520 176.211797 0.011144 170.678976 0.009337 165.236827 0.008861 NaN Inf 154.691893 0.009169 149.493006 0.009484 144.465711 0.009126 139.502110 0.009032 134.589500 0.009722 129.831625 0.008943 125.160263 0.009087 120.540747 0.009281 116.037230 0.009861 111.639285 0.009970 107.321071 0.009913 NaN Inf
57092.126800 177.060291 0.009281 171.456366 0.007698 166.063449 0.007970 NaN Inf 155.238818 0.007268 150.061551 0.007009 144.910854 0.007302 139.925845 0.007114 134.928292 0.007745 130.182066 0.007059 125.522984 0.007146 120.811731 0.007632 116.272811 0.008041 111.834874 0.007510 107.450669 0.008548 NaN Inf
57099.142494 178.161388 0.009543 172.426089 0.008090 166.794238 0.007723 NaN Inf 155.991869 0.007679 150.614750 0.008765 145.549769 0.007653 140.477523 0.007549 135.382801 0.008151 130.650254 0.007471 125.996507 0.007565 121.203083 0.007546 116.622328 0.007927 112.087337 0.008016 107.740859 0.008518 NaN Inf
57100.117390 177.429026 0.011046 171.780031 0.009327 166.223941 0.008869 NaN Inf 155.540387 0.008797 150.263953 0.010287 145.204767 0.008744 140.201145 0.008675 135.190887 0.008952 130.456472 0.008502 125.841811 0.008724 121.101011 0.008570 116.553558 0.009003 112.071765 0.008969 107.770607 0.009415 NaN Inf
57100.170446 177.351568 0.009364 171.491787 0.007891 165.758566 0.007524 NaN Inf 154.832867 0.007446 149.536294 0.007277 144.329590 0.007437 139.199512 0.007349 133.881990 0.008558 129.304967 0.007238 124.670401 0.007313 119.798235 0.007316 115.187324 0.007668 110.621537 0.007747 106.262238 0.008195 NaN Inf
57102.082922 177.108828 0.009547 171.303172 0.008380 165.683076 0.007704 NaN Inf 154.733368 0.007620 149.351906 0.008688 144.177710 0.007558 139.071435 0.007474 133.990368 0.008048 129.144308 0.007356 124.373718 0.007420 119.621395 0.007407 115.012904 0.007766 110.495322 0.007808 106.084111 0.008613 NaN Inf
57102.349230 175.997759 0.011471 170.069366 0.009932 164.565423 0.009195 158.820534 0.009537 153.919729 0.009092 148.228164 0.010592 143.649301 0.008986 138.667120 0.008953 133.495015 0.009231 128.939737 0.008751 124.551476 0.008923 119.608443 0.008791 115.087011 0.009169 110.545322 0.009243 106.314312 0.009763 NaN Inf
57104.364219 168.643095 0.013952 162.950563 0.012451 158.300931 0.010943 152.875852 0.011561 148.644269 0.010731 143.700367 0.010925 139.264946 0.010666 134.744578 0.010640 129.854312 0.011153 125.811082 0.010302 121.740806 0.011082 117.200704 0.010441 112.982547 0.010992 108.790528 0.011036 104.802590 0.011511 NaN Inf
57106.356244 170.846513 0.012443 165.109438 0.010783 159.727976 0.010011 154.181211 0.010369 149.383143 0.009848 144.324386 0.009672 139.385532 0.009821 134.544886 0.009761 129.468892 0.010158 125.039066 0.009626 120.759378 0.009869 115.972780 0.009743 111.567992 0.010239 107.182897 0.010216 102.998991 0.010679 NaN Inf
57107.280434 168.874248 0.010925 163.412369 0.009200 157.987478 0.008764 152.514473 0.009114 147.905668 0.008680 142.965323 0.008530 138.111833 0.008668 133.357135 0.008583 128.377380 0.008992 124.024816 0.008619 119.981786 0.008632 115.232146 0.008536 110.898736 0.008986 106.582373 0.008963 102.535887 0.009446 NaN Inf
57108.169786 166.413331 0.010965 161.477689 0.009711 156.116396 0.008628 150.969431 0.008993 146.635897 0.008763 141.592458 0.008457 136.799928 0.008818 132.271310 0.008557 127.543692 0.008948 123.320975 0.008391 119.215389 0.008653 114.694576 0.008613 110.487633 0.009015 106.297753 0.009014 102.342891 0.009508 NaN Inf
57109.163409 163.457528 0.010606 158.302818 0.008941 153.285213 0.008523 148.271237 0.008845 143.790412 0.008428 139.125307 0.008300 134.532879 0.008431 130.040011 0.008352 125.444672 0.008707 121.300299 0.008214 117.282651 0.008460 112.861728 0.008338 108.744000 0.008805 104.661473 0.008774 100.805421 0.009236 NaN Inf
57115.225133 162.886220 0.009267 157.514369 0.007646 151.933370 0.007543 146.977071 0.007461 142.268414 0.007178 137.393301 0.007038 132.501320 0.007415 128.001846 0.007045 123.092481 0.007660 118.942530 0.006923 114.807086 0.006999 110.237368 0.006986 106.004284 0.007381 101.700003 0.007570 97.749107 0.007919 NaN Inf
57116.058848 162.113588 0.009466 156.948679 0.008156 151.826089 0.007402 146.851979 0.007561 142.159626 0.007614 137.233911 0.007273 132.550820 0.007381 127.958508 0.007164 123.369405 0.007733 119.023745 0.007029 114.748054 0.007118 110.501203 0.007219 106.293236 0.007576 102.188811 0.007518 98.223609 0.007995 NaN Inf
57117.154844 161.744212 0.009247 156.382933 0.007528 151.303147 0.007027 146.262936 0.007211 141.621661 0.006962 136.664048 0.007258 132.205043 0.006964 127.651004 0.006859 122.939009 0.007462 118.781579 0.006734 114.676944 0.006818 110.262317 0.006799 106.118132 0.007170 101.989210 0.007266 98.095668 0.007617 NaN Inf
