# Frequency (GHz), Wavelength (cm), T_b (K), Error (K)
34.688, 0.864254087869, 150.117828187, 3.99109476514
34.188, 0.876893816544, 149.510744332, 3.96379403933
33.688, 0.889908744954, 148.829224884, 4.002939109
33.188, 0.903315831023, 148.908589682, 3.45403341684
32.688, 0.91713307024, 147.81085486, 3.98056823738
32.188, 0.93137957624, 147.0977043, 3.94845546553
31.688, 0.946075669023, 146.597062865, 3.93697977154
31.188, 0.961242971656, 146.028249055, 3.9942299891
30.688, 0.976904516423, 145.223610573, 3.92944863724
30.188, 0.993084861534, 144.846802702, 4.05863980798
29.688, 1.00981021962, 144.299349574, 4.16812591413
29.188, 1.02710859942, 143.513135451, 4.20965826084
28.688, 1.04500996235, 142.852222764, 4.30416177908
28.188, 1.06354639563, 142.087578249, 4.38012591081
27.688, 1.08275230425, 141.441351213, 4.51967511282
