# Frequency (GHz), Wavelength (cm), T_b (K), Absolute Uncertainty (K), Relative Uncertainty (K)
34.688, 0.864254087869, 151.013495163, 3.17980323877, 1.35942308708
34.188, 0.876893816544, 150.385064152, 3.14250119935, 1.18566659741
33.688, 0.889908744954, 149.615392965, 3.22168128573, 1.03729484949
33.188, 0.903315831023, 149.875529228, 2.53142468589, 1.24405976972
32.688, 0.91713307024, 148.533947319, 3.2438110356, 0.62002118438
32.188, 0.93137957624, 147.706529294, 3.22843438629, 0.510255353925
31.688, 0.946075669023, 147.234568347, 3.23976850753, 0.316067518989
31.188, 0.961242971656, 146.634910249, 3.29343101948, 0.146205943904
30.688, 0.976904516423, 145.719719018, 3.26642408942, 0.377856294671
30.188, 0.993084861534, 145.346711584, 3.3820756577, 0.395345688991
29.688, 1.00981021962, 144.793922242, 3.51538995616, 0.674917607813
29.188, 1.02710859942, 143.910753431, 3.58424027406, 0.76886455491
28.688, 1.04500996235, 143.225063723, 3.67922091873, 0.960138256758
28.188, 1.06354639563, 142.369396694, 3.76657193659, 1.14711004491
27.688, 1.08275230425, 141.757182331, 3.87531724219, 1.3681797099
