# Frequency (GHz), Wavelength (cm), T_b (K), Error (K)
34.688, 0.864254087869, 150.024468891, 0.722329408554
34.188, 0.876893816544, 149.417367161, 0.607218206252
33.688, 0.889908744954, 148.734070395, 0.588792284029
33.188, 0.903315831023, 148.955576508, 0.839592027121
32.688, 0.91713307024, 147.701499948, 0.565934355722
32.188, 0.93137957624, 146.934112371, 0.581149406951
31.688, 0.946075669023, 146.478400014, 0.563479824615
31.188, 0.961242971656, 145.882696441, 0.549820784865
30.688, 0.976904516423, 145.07139574, 0.589814826188
30.188, 0.993084861534, 144.697179656, 0.537835464939
29.688, 1.00981021962, 144.100527656, 0.539249074488
29.188, 1.02710859942, 143.307413901, 0.540760351272
28.688, 1.04500996235, 142.634116834, 0.563060614459
28.188, 1.06354639563, 141.836952745, 0.565130425166
27.688, 1.08275230425, 141.246235851, 0.613870264386
